Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,16.825001,16.959999,16.555,16.655001000000002,16.655001000000002,30545294.0
2017-08-02,16.620001000000002,16.76,16.455,16.52,16.52,43264653.0
2017-08-03,16.504998999999998,16.700001,16.42,16.67,16.67,30240525.0
2017-08-04,16.655001000000002,16.75,16.17,16.24,16.24,41689429.0
2017-08-06,16.27,16.27,16.209999,16.219998999999998,16.219998999999998,63496.0
2017-08-07,16.235001,16.280001000000002,16.094998999999998,16.25,16.25,26075637.0
2017-08-08,16.25,16.48,16.205,16.469998999999998,16.469998999999998,32761289.0
2017-08-09,16.530001000000002,16.950001,16.5,16.895,16.895,52275848.0
2017-08-10,16.875,17.24,16.875,17.115,17.115,53132919.0
2017-08-11,17.08,17.165001,16.879998999999998,17.110001,17.110001,49979300.0
2017-08-13,17.129998999999998,17.129998999999998,17.059998999999998,17.075001,17.075001,60189.0
2017-08-14,17.155001000000002,17.18,16.924999,17.035,17.035,39511188.0
2017-08-15,16.879998999999998,16.91,16.815001000000002,16.85,16.85,10248322.0
2017-08-16,16.67,17.139999,16.615,17.09,17.09,43252472.0
2017-08-17,17.120001000000002,17.165001,16.969998999999998,17.035,17.035,51662720.0
2017-08-18,16.955,17.32,16.955,16.965,16.965,55246606.0
2017-08-20,16.934998999999998,16.969998999999998,16.83,16.889999,16.889999,167729.0
2017-08-21,16.940001000000002,17.120001000000002,16.91,17.014999,17.014999,44252536.0
2017-08-22,16.99,17.115,16.870001000000002,16.955,16.955,42902422.0
2017-08-23,16.99,17.105,16.965,17.07,17.07,39469975.0
2017-08-24,17.045,17.1,16.815001000000002,16.940001000000002,16.940001000000002,48737483.0
2017-08-25,16.959999,17.18,16.719998999999998,17.059998999999998,17.059998999999998,49834579.0
2017-08-27,17.055,17.200001,17.045,17.049999,17.049999,218241.0
2017-08-28,17.094998999999998,17.57,17.094998999999998,17.495001000000002,17.495001000000002,46599106.0
2017-08-29,17.450001,17.665001,17.254998999999998,17.4,17.4,58477992.0
2017-08-30,17.43,17.555,17.299999,17.459999,17.459999,44418500.0
2017-08-31,17.415001,17.695,17.385,17.635,17.635,38938495.0
2017-09-01,17.615,17.825001,17.51,17.805,17.805,44506615.0
2017-09-03,17.879998999999998,17.965,17.860001,17.945,17.945,338105.0
