,Down,Stock_ID,Up
2006-02-22,-8.983799705449188,000001.XSHE,3.534609720176734
2006-09-21,-2.853437094682226,000001.XSHE,27.367055771725045
2007-01-17,-4.935370152761443,000001.XSHE,18.331374853113996
2007-04-23,-0.8428150021070375,000001.XSHE,64.14754551666097
2007-07-25,-3.835227272727289,000001.XSHE,13.6647727272727
2009-01-22,-1.2722646310432455,000001.XSHE,28.498727735368977
2009-03-05,-3.234323432343237,000001.XSHE,9.042904290429023
2009-10-26,-4.077159140727752,000001.XSHE,14.949583516001768
2010-06-24,-12.250404749055582,000001.XSHE,-0.21586616297897093
2017-07-14,-1.4242966068211773,000001.XSHE,3.97456155824433
2005-04-07,-8.591065292096207,000002.XSHE,1.3745704467353976
2005-04-13,-15.951972555746135,000002.XSHE,1.2006861063464813
2005-04-14,-15.951972555746135,000002.XSHE,1.2006861063464813
2006-08-21,-0.4761904761904901,000002.XSHE,15.079365079365074
2006-08-24,1.587301587301591,000002.XSHE,20.158730158730172
2007-05-21,-1.3253012048192858,000002.XSHE,17.771084337349404
2008-11-21,-7.225433526011575,000002.XSHE,14.16184971098266
2009-02-05,-1.5151515151515111,000002.XSHE,17.768595041322325
2009-03-26,-3.8095238095238204,000002.XSHE,4.285714285714275
2010-08-11,1.2019230769230647,000002.XSHE,7.451923076923059
2010-10-14,-5.425531914893616,000002.XSHE,5.319148936170206
2010-10-27,-17.7570093457944,000002.XSHE,2.803738317756991
2012-02-23,-0.24420024420023387,000002.XSHE,5.372405372405395
2012-05-04,-6.941431670282004,000002.XSHE,0.9761388286333992
2015-03-20,-2.7397260273972655,000002.XSHE,11.643835616438354
2005-08-10,-1.5021459227467882,000004.XSHE,8.154506437768248
2006-05-30,-3.5087719298245488,000004.XSHE,16.447368421052623
2007-08-09,-3.37078651685394,000004.XSHE,18.539325842696634
2007-08-24,-9.072781655034898,000004.XSHE,5.184446660019955
2008-08-07,-22.94807370184255,000004.XSHE,-3.6850921273031787
2009-03-26,-4.173913043478264,000004.XSHE,10.60869565217392
2009-10-22,0.8045977011494285,000004.XSHE,19.080459770114945
2009-11-03,-1.4084507042253605,000004.XSHE,30.22751895991331
2010-07-26,-0.10449320794148158,000004.XSHE,10.135841170323918
2010-07-30,-0.10384215991694248,000004.XSHE,19.31464174454828
2010-08-30,-4.525674499564835,000004.XSHE,1.3054830287206296
2013-01-09,-0.8443908323280883,000004.XSHE,16.525934861278664
2015-11-05,1.4970059880239521,000004.XSHE,25.149700598802394
2005-08-05,1.5037593984962472,000005.XSHE,20.30075187969925
2005-09-16,-14.035087719298254,000005.XSHE,9.941520467836241
2006-04-13,1.4999999999999836,000005.XSHE,84.00000000000001
2006-04-24,-2.928870292887038,000005.XSHE,68.20083682008365
2006-09-11,-4.832713754646837,000005.XSHE,0.0
2006-09-20,-8.92193308550185,000005.XSHE,-1.1152416356877253
2007-01-29,-9.53846153846154,000005.XSHE,27.076923076923077
2007-02-27,1.5267175572519098,000005.XSHE,48.34605597964376
2007-03-21,4.9603174603174605,000005.XSHE,41.26984126984127
2007-04-13,4.953560371517033,000005.XSHE,37.77089783281735
2008-01-10,-13.570487483530966,000005.XSHE,1.9762845849802417
2009-01-23,3.63636363636364,000005.XSHE,34.18181818181818
2012-12-31,-3.703703703703714,000005.XSHE,11.111111111111098
2013-10-11,-8.8339222614841,000005.XSHE,3.5335689045936425
2013-10-14,-9.187279151943471,000005.XSHE,3.5335689045936425
2014-08-12,-2.2988505747126458,000005.XSHE,3.8314176245210767
2014-08-13,-2.2988505747126458,000005.XSHE,4.2145593869731925
2005-08-10,-2.5062656641604133,000006.XSHE,14.536340852130314
2006-02-23,-5.910543130990412,000006.XSHE,6.86900958466455
2006-04-07,-11.888111888111887,000006.XSHE,12.447552447552443
2006-05-26,-17.220902612826595,000006.XSHE,0.0
2006-05-30,-17.220902612826595,000006.XSHE,-3.8004750593824186
2006-11-03,0.10570824524312372,000006.XSHE,33.192389006342495
2006-11-23,0.34995625546807324,000006.XSHE,25.10936132983379
2010-03-11,0.4528985507246442,000006.XSHE,10.960144927536236
2010-03-22,-15.230125523012541,000006.XSHE,2.510460251046016
2010-06-24,-12.027491408934715,000006.XSHE,9.965635738831615
2011-03-08,-4.392764857881136,000006.XSHE,10.852713178294568
2012-02-15,-1.2793176972281515,000006.XSHE,16.84434968017058
2012-03-08,-12.591240875912415,000006.XSHE,0.5474452554744368
2012-12-20,-2.3404255319148874,000006.XSHE,14.468085106382981
2015-12-23,-31.899350649350634,000006.XSHE,-2.1103896103896034
2005-05-12,-7.065217391304354,000007.XSHE,12.771739130434776
2005-08-02,-0.8571428571428409,000007.XSHE,24.000000000000007
2005-11-21,-16.80440771349863,000007.XSHE,-3.030303030303033
2006-01-12,-1.7291066282420855,000007.XSHE,4.899135446685878
2006-05-19,-0.970873786407765,000007.XSHE,29.449838187702277
2006-09-14,-0.7633587786259465,000007.XSHE,4.198473282442743
2006-09-15,-2.6717557251908506,000007.XSHE,4.198473282442743
2007-01-16,-0.7547169811320803,000007.XSHE,24.905660377358487
2007-03-13,0.44943820224717146,000007.XSHE,23.59550561797752
2009-04-01,-1.935483870967758,000007.XSHE,17.204301075268813
2009-07-15,-2.3847376788553385,000007.XSHE,17.96502384737678
2009-07-23,-6.766917293233099,000007.XSHE,11.578947368421039
2009-09-17,-15.405405405405418,000007.XSHE,-2.8378378378378493
2012-12-25,0.07147962830592494,000007.XSHE,20.800571837026443
2013-05-14,-7.894736842105248,000007.XSHE,10.354691075514879
