updateDate,code,code_name,industry,industryClassification
2021-11-15,sh.600118,中国卫星,国防军工,申万一级行业
2021-11-15,sh.600119,长江投资,交通运输,申万一级行业
2021-11-15,sh.600120,浙江东方,非银金融,申万一级行业
2021-11-15,sh.600121,郑州煤电,采掘,申万一级行业
2021-11-15,sh.600122,ST宏图,商业贸易,申万一级行业
2021-11-15,sh.600123,兰花科创,采掘,申万一级行业
2021-11-15,sh.600125,铁龙物流,交通运输,申万一级行业
2021-11-15,sh.600126,杭钢股份,钢铁,申万一级行业
2021-11-15,sh.600127,金健米业,农林牧渔,申万一级行业
2021-11-15,sh.600128,弘业股份,综合,申万一级行业
2021-11-15,sh.600129,太极集团,医药生物,申万一级行业
2021-11-15,sh.600130,波导股份,通信,申万一级行业
2021-11-15,sh.600131,国网信通,公用事业,申万一级行业
2021-11-15,sh.600132,重庆啤酒,食品饮料,申万一级行业
2021-11-15,sh.600133,东湖高新,建筑装饰,申万一级行业
2021-11-15,sh.600135,乐凯胶片,轻工制造,申万一级行业
2021-11-15,sh.600136,当代文体,传媒,申万一级行业
2021-11-15,sh.600137,浪莎股份,纺织服装,申万一级行业
2021-11-15,sh.600138,中青旅,休闲服务,申万一级行业
2021-11-15,sh.600139,ST西源,综合,申万一级行业
2021-11-15,sh.600141,兴发集团,化工,申万一级行业
2021-11-15,sh.600143,金发科技,化工,申万一级行业
2021-11-15,sh.600145,*ST新亿,商业贸易,申万一级行业
2021-11-15,sh.600146,*ST环球,纺织服装,申万一级行业
2021-11-15,sh.600148,长春一东,汽车,申万一级行业
2021-11-15,sh.600149,廊坊发展,综合,申万一级行业
2021-11-15,sh.600150,中国船舶,国防军工,申万一级行业
2021-11-15,sh.600151,航天机电,电气设备,申万一级行业
2021-11-15,sh.600152,维科技术,电子,申万一级行业
2021-11-15,sh.600153,建发股份,交通运输,申万一级行业
2021-11-15,sh.600155,华创阳安,非银金融,申万一级行业
2021-11-15,sh.600156,华升股份,纺织服装,申万一级行业
2021-11-15,sh.600157,永泰能源,公用事业,申万一级行业
2021-11-15,sh.600158,中体产业,传媒,申万一级行业
2021-11-15,sh.600159,大龙地产,房地产,申万一级行业
2021-11-15,sh.600160,巨化股份,化工,申万一级行业
2021-11-15,sh.600161,天坛生物,医药生物,申万一级行业
2021-11-15,sh.600162,香江控股,房地产,申万一级行业
2021-11-15,sh.600163,中闽能源,公用事业,申万一级行业
2021-11-15,sh.600165,新日恒力,化工,申万一级行业
2021-11-15,sh.600166,福田汽车,汽车,申万一级行业
2021-11-15,sh.600167,联美控股,公用事业,申万一级行业
2021-11-15,sh.600168,武汉控股,公用事业,申万一级行业
2021-11-15,sh.600169,太原重工,机械设备,申万一级行业
2021-11-15,sh.600170,上海建工,建筑装饰,申万一级行业
2021-11-15,sh.600171,上海贝岭,电子,申万一级行业
2021-11-15,sh.600172,黄河旋风,机械设备,申万一级行业
2021-11-15,sh.600173,卧龙地产,房地产,申万一级行业
2021-11-15,sh.600175,退市美都,,申万一级行业
2021-11-15,sh.600176,中国巨石,化工,申万一级行业
2021-11-15,sh.600177,雅戈尔,房地产,申万一级行业
2021-11-15,sh.600178,东安动力,汽车,申万一级行业
2021-11-15,sh.600179,安通控股,交通运输,申万一级行业
2021-11-15,sh.600180,瑞茂通,交通运输,申万一级行业
2021-11-15,sh.600181,S*ST云大,,申万一级行业
2021-11-15,sh.600182,SST佳通,化工,申万一级行业
2021-11-15,sh.600183,生益科技,电子,申万一级行业
2021-11-15,sh.600184,光电股份,国防军工,申万一级行业
2021-11-15,sh.600185,格力地产,房地产,申万一级行业
